train_no,train_type,train_name,priority,corridor_id,service_date,scheduled_dep
95553,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,16:07
59008,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,06:11
76794,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,18:23
12866,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,21:50
51504,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,09:31
39404,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,02:06
10637,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,06:56
25828,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,00:40
55097,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,04:56
42022,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,10:31
33641,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,00:32
88771,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,10:15
52912,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,02:39
81474,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,07:37
52692,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,18:34
42209,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,09:40
66738,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,03:39
19941,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,06:18
47827,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,15:29
47096,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,19:29
76457,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-06,23:14
78309,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,03:53
96496,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,06:06
52078,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,23:06
59876,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,03:35
50478,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,11:51
23394,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,16:24
19262,MEMU,MEMU/EMU,4,COR-NDLS-CNB,2026-09-06,06:30
37341,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,06:31
23570,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,06:24
39605,RAJ,Rajdhani Express,1,COR-NDLS-CNB,2026-09-06,10:03
36723,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,06:38
70098,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,06:22
58707,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,20:15
20249,PASS,Passenger,4,COR-NDLS-CNB,2026-09-06,22:48
53839,SF,Superfast Express,2,COR-NDLS-CNB,2026-09-06,04:23
49673,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,10:29
61761,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,03:14
58423,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,23:50
57565,EXP,Mail/Express,3,COR-NDLS-CNB,2026-09-06,01:36
31470,FRT,Freight,5,COR-NDLS-CNB,2026-09-06,12:37
