TDMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
TDMS-00001,TRD,COR-CNB-DDU,FTP,515.7,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-09-01,2026-09-08,0,139,True,4,88,PENDING
TDMS-00002,TRD,COR-NDLS-CNB,NDLS,-0.92,SP_MAINT,Sectioning post / SP maintenance,3,4,2026-09-03,2026-09-18,0,188,True,4,95,PENDING
TDMS-00003,TRD,COR-HWH-ASN,DGR,157.36,EARTHING,OHE earthing / bonding check,1,4,2026-08-18,2026-09-17,0,104,False,3,92,PENDING
TDMS-00004,TRD,COR-NDLS-CNB,NDLS,-0.23,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-08-30,2026-09-06,0,121,True,4,95,PENDING
TDMS-00005,TRD,COR-NDLS-CNB,ALJN,128.85,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-07-22,2026-07-25,42,308,True,8,95,PENDING
TDMS-00006,TRD,COR-CNB-DDU,MZP,720.58,SP_MAINT,Sectioning post / SP maintenance,3,4,2026-08-17,2026-09-01,4,212,True,4,88,PENDING
TDMS-00007,TRD,COR-HWH-ASN,HWH,-0.97,PANTO_ENTANGLE,Pantograph entanglement damage,4,3,2026-08-27,2026-08-30,6,145,True,8,92,PENDING
TDMS-00008,TRD,COR-NDLS-CNB,TDL,205.72,PANTO_ENTANGLE,Pantograph entanglement damage,4,4,2026-08-19,2026-08-22,14,186,True,8,95,PENDING
TDMS-00009,TRD,COR-BSL-NGP,NGP,359.29,TENSIONING,Auto-tensioning device attention,4,4,2026-09-01,2026-09-16,0,165,True,4,84,PENDING
TDMS-00010,TRD,COR-BRC-ST,BRC,1.16,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,2,2026-08-06,2026-08-09,27,223,True,6,78,PENDING
TDMS-00011,TRD,COR-BSL-NGP,BSL,-1.06,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,3,2026-07-22,2026-07-25,42,263,True,6,84,IN_PROGRESS
TDMS-00012,TRD,COR-BRC-ST,ST,131.99,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-22,2026-08-25,11,279,True,8,78,PENDING
TDMS-00013,TRD,COR-CNB-DDU,MZP,721.99,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-16,2026-08-23,13,326,True,6,88,PENDING
TDMS-00014,TRD,COR-NDLS-CNB,TDL,205.85,INSULATOR_FLASH,Insulator flashover / replacement,3,4,2026-08-28,2026-09-04,1,128,True,4,95,PENDING
TDMS-00015,TRD,COR-NDLS-CNB,ETW,308.63,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-31,2026-09-07,0,441,True,6,95,PENDING
TDMS-00016,TRD,COR-CNB-DDU,DDU,801.45,NEUTRAL_SECTION,Neutral section attention,3,4,2026-08-14,2026-08-29,7,132,True,4,88,IN_PROGRESS
TDMS-00017,TRD,COR-BRC-ST,ST,128.17,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-21,2026-08-24,12,354,True,8,78,PENDING
TDMS-00018,TRD,COR-CNB-DDU,FTP,515.41,NEUTRAL_SECTION,Neutral section attention,3,5,2026-08-31,2026-09-15,0,142,True,4,88,IN_PROGRESS
TDMS-00019,TRD,COR-CNB-DDU,ALD,635.26,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-09-05,2026-09-12,0,394,True,6,88,PENDING
TDMS-00020,TRD,COR-CNB-DDU,MZP,721.64,NEUTRAL_SECTION,Neutral section attention,3,5,2026-08-12,2026-08-27,9,127,True,4,88,PENDING
TDMS-00021,TRD,COR-BRC-ST,ANND,34.85,PANTO_ENTANGLE,Pantograph entanglement damage,4,2,2026-08-22,2026-08-25,11,304,True,8,78,PENDING
TDMS-00022,TRD,COR-CNB-DDU,MZP,718.51,TENSIONING,Auto-tensioning device attention,3,5,2026-08-25,2026-09-09,0,167,True,4,88,IN_PROGRESS
TDMS-00023,TRD,COR-SBC-JTJ,KPN,111.46,OHE_WIRE_WEAR,OHE contact wire wear replacement,4,1,2026-08-31,2026-09-03,2,280,True,6,65,PENDING
TDMS-00024,TRD,COR-HWH-ASN,HWH,-0.2,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-08-31,2026-09-07,0,133,True,4,92,PENDING
TDMS-00025,TRD,COR-SBC-JTJ,BWT,63.23,NEUTRAL_SECTION,Neutral section attention,4,2,2026-08-07,2026-08-22,14,127,True,4,65,PENDING
TDMS-00026,TRD,COR-SBC-JTJ,JTJ,148.61,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-08-26,2026-08-29,7,282,True,8,65,IN_PROGRESS
TDMS-00027,TRD,COR-CNB-DDU,CNB,439.27,TENSIONING,Auto-tensioning device attention,3,5,2026-08-03,2026-08-18,18,159,True,4,88,IN_PROGRESS
TDMS-00028,TRD,COR-HWH-ASN,DGR,159.8,TSS_TRANSFORMER,Traction sub-station transformer,4,5,2026-09-02,2026-09-09,0,375,True,6,92,PENDING
TDMS-00029,TRD,COR-NDLS-CNB,NDLS,0.51,OHE_WIRE_WEAR,OHE contact wire wear replacement,5,5,2026-09-03,2026-09-06,0,233,True,6,95,PENDING
TDMS-00030,TRD,COR-BSL-NGP,WR,290.42,PANTO_ENTANGLE,Pantograph entanglement damage,5,2,2026-08-25,2026-08-28,8,301,True,8,84,PENDING
TDMS-00031,TRD,COR-HWH-ASN,HWH,1.01,INSULATOR_FLASH,Insulator flashover / replacement,4,3,2026-08-23,2026-08-30,6,155,True,4,92,PENDING
TDMS-00032,TRD,COR-CNB-DDU,MZP,720.67,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-28,2026-09-04,1,327,True,6,88,IN_PROGRESS
TDMS-00033,TRD,COR-HWH-ASN,HWH,1.77,TENSIONING,Auto-tensioning device attention,4,5,2026-09-01,2026-09-16,0,125,True,4,92,COMPLETED
TDMS-00034,TRD,COR-BSL-NGP,AK,130.03,TSS_TRANSFORMER,Traction sub-station transformer,4,3,2026-07-22,2026-07-29,38,381,True,6,84,PENDING
TDMS-00035,TRD,COR-CNB-DDU,DDU,801.75,EARTHING,OHE earthing / bonding check,2,4,2026-09-04,2026-10-04,0,95,False,3,88,PENDING
TDMS-00036,TRD,COR-SBC-JTJ,BWT,66.96,TSS_TRANSFORMER,Traction sub-station transformer,4,1,2026-08-30,2026-09-06,0,369,True,6,65,PENDING
TDMS-00037,TRD,COR-CNB-DDU,MZP,719.21,NEUTRAL_SECTION,Neutral section attention,3,3,2026-09-03,2026-09-18,0,135,True,4,88,PENDING
TDMS-00038,TRD,COR-NDLS-CNB,GZB,23.98,TSS_TRANSFORMER,Traction sub-station transformer,5,4,2026-09-01,2026-09-08,0,396,True,6,95,PENDING
TDMS-00039,TRD,COR-CNB-DDU,DDU,800.65,TENSIONING,Auto-tensioning device attention,3,3,2026-08-07,2026-08-22,14,146,True,4,88,PENDING
TDMS-00040,TRD,COR-NDLS-CNB,CNB,438.37,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-03,2026-08-10,26,346,True,6,95,PENDING
TDMS-00041,TRD,COR-BRC-ST,BH,69.92,TSS_TRANSFORMER,Traction sub-station transformer,4,4,2026-08-12,2026-08-19,17,370,True,6,78,IN_PROGRESS
TDMS-00042,TRD,COR-BRC-ST,ANND,33.12,SP_MAINT,Sectioning post / SP maintenance,3,3,2026-08-05,2026-08-20,16,186,True,4,78,IN_PROGRESS
TDMS-00043,TRD,COR-BRC-ST,BH,69.47,PANTO_ENTANGLE,Pantograph entanglement damage,5,2,2026-08-24,2026-08-27,9,321,True,8,78,PENDING
TDMS-00044,TRD,COR-NDLS-CNB,ALJN,129.34,SP_MAINT,Sectioning post / SP maintenance,3,3,2026-09-05,2026-09-20,0,147,True,4,95,PENDING
TDMS-00045,TRD,COR-CNB-DDU,MZP,721.18,TSS_TRANSFORMER,Traction sub-station transformer,4,5,2026-09-04,2026-09-11,0,400,True,6,88,PENDING
TDMS-00046,TRD,COR-NDLS-CNB,NDLS,-0.27,PANTO_ENTANGLE,Pantograph entanglement damage,5,5,2026-08-21,2026-08-24,12,246,True,8,95,PENDING
TDMS-00047,TRD,COR-HWH-ASN,DGR,158.75,SP_MAINT,Sectioning post / SP maintenance,3,4,2026-08-29,2026-09-13,0,136,True,4,92,COMPLETED
TDMS-00048,TRD,COR-SBC-JTJ,BWT,65.14,TSS_TRANSFORMER,Traction sub-station transformer,4,2,2026-08-02,2026-08-09,27,359,True,6,65,PENDING
TDMS-00049,TRD,COR-HWH-ASN,BWN,107.49,INSULATOR_FLASH,Insulator flashover / replacement,4,3,2026-08-16,2026-08-23,13,111,True,4,92,PENDING
TDMS-00050,TRD,COR-CNB-DDU,CNB,439.71,SP_MAINT,Sectioning post / SP maintenance,2,3,2026-08-09,2026-08-24,12,168,True,4,88,COMPLETED
TDMS-00051,TRD,COR-BRC-ST,ANND,35.67,PANTO_ENTANGLE,Pantograph entanglement damage,5,4,2026-09-02,2026-09-05,0,296,True,8,78,PENDING
TDMS-00052,TRD,COR-NDLS-CNB,GZB,22.82,SP_MAINT,Sectioning post / SP maintenance,3,3,2026-09-01,2026-09-16,0,144,True,4,95,COMPLETED
TDMS-00053,TRD,COR-SBC-JTJ,JTJ,148.22,EARTHING,OHE earthing / bonding check,2,2,2026-08-22,2026-09-21,0,93,False,3,65,PENDING
TDMS-00054,TRD,COR-HWH-ASN,DGR,156.52,EARTHING,OHE earthing / bonding check,3,5,2026-08-27,2026-09-26,0,96,False,3,92,PENDING
TDMS-00055,TRD,COR-BSL-NGP,NGP,359.45,INSULATOR_FLASH,Insulator flashover / replacement,4,4,2026-08-16,2026-08-23,13,152,True,4,84,COMPLETED
TDMS-00056,TRD,COR-BSL-NGP,BD,211.69,TENSIONING,Auto-tensioning device attention,3,2,2026-09-04,2026-09-19,0,113,True,4,84,COMPLETED
TDMS-00057,TRD,COR-CNB-DDU,ALD,634.45,TENSIONING,Auto-tensioning device attention,3,3,2026-08-28,2026-09-12,0,115,True,4,88,PENDING
TDMS-00058,TRD,COR-HWH-ASN,ASN,199.22,PANTO_ENTANGLE,Pantograph entanglement damage,5,3,2026-09-04,2026-09-07,0,323,True,8,92,COMPLETED
TDMS-00059,TRD,COR-HWH-ASN,BWN,106.7,NEUTRAL_SECTION,Neutral section attention,4,5,2026-08-27,2026-09-11,0,120,True,4,92,PENDING
TDMS-00060,TRD,COR-BRC-ST,ST,129.57,TENSIONING,Auto-tensioning device attention,3,2,2026-08-01,2026-08-16,20,141,True,4,78,PENDING
TDMS-00061,TRD,COR-HWH-ASN,DGR,157.37,PANTO_ENTANGLE,Pantograph entanglement damage,5,4,2026-09-04,2026-09-07,0,344,True,8,92,PENDING
TDMS-00062,TRD,COR-NDLS-CNB,ALJN,130.39,INSULATOR_FLASH,Insulator flashover / replacement,4,5,2026-08-26,2026-09-02,3,162,True,4,95,IN_PROGRESS
TDMS-00063,TRD,COR-SBC-JTJ,BWT,66.41,NEUTRAL_SECTION,Neutral section attention,3,3,2026-09-04,2026-09-19,0,108,True,4,65,COMPLETED
TDMS-00064,TRD,COR-BRC-ST,BH,69.96,NEUTRAL_SECTION,Neutral section attention,3,2,2026-08-22,2026-09-06,0,139,True,4,78,PENDING
