TMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
TMS-00001,ENG,COR-BSL-NGP,WR,289.82,GAUGE_WIDENING,Gauge widening beyond limit,4,4,2026-08-25,2026-09-01,4,165,True,10,84,PENDING
TMS-00002,ENG,COR-CNB-DDU,DDU,799.7,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-09-05,2026-09-08,0,231,True,8,88,PENDING
TMS-00003,ENG,COR-HWH-ASN,BWN,108.26,USFD_FLAW,USFD detected internal flaw,4,5,2026-08-31,2026-09-03,2,107,True,6,92,PENDING
TMS-00004,ENG,COR-NDLS-CNB,TDL,204.98,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-08,2026-08-15,21,180,True,8,95,PENDING
TMS-00005,ENG,COR-CNB-DDU,FTP,518.53,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-08-06,2026-08-13,23,193,True,8,88,PENDING
TMS-00006,ENG,COR-BRC-ST,ST,131.99,BALLAST_DEFICIENCY,Ballast deficiency / packing,3,2,2026-07-22,2026-08-06,30,213,True,12,78,PENDING
TMS-00007,ENG,COR-CNB-DDU,MZP,720.84,GAUGE_WIDENING,Gauge widening beyond limit,4,5,2026-08-19,2026-08-26,10,168,True,10,88,IN_PROGRESS
TMS-00008,ENG,COR-BRC-ST,ANND,36.43,GAUGE_WIDENING,Gauge widening beyond limit,4,4,2026-08-30,2026-09-06,0,215,True,10,78,PENDING
TMS-00009,ENG,COR-CNB-DDU,MZP,719.23,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-16,2026-08-31,5,412,True,14,88,PENDING
TMS-00010,ENG,COR-CNB-DDU,ALD,635.71,RAIL_FRACTURE,Rail fracture / weld failure,5,3,2026-09-01,2026-09-04,1,251,True,8,88,PENDING
TMS-00011,ENG,COR-NDLS-CNB,ETW,311.47,RAIL_FRACTURE,Rail fracture / weld failure,4,4,2026-08-24,2026-08-27,9,215,True,8,95,COMPLETED
TMS-00012,ENG,COR-NDLS-CNB,ETW,309.09,GAUGE_WIDENING,Gauge widening beyond limit,4,3,2026-08-31,2026-09-07,0,126,True,10,95,COMPLETED
TMS-00013,ENG,COR-HWH-ASN,ASN,198.38,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-09-03,2026-09-10,0,195,True,8,92,PENDING
TMS-00014,ENG,COR-NDLS-CNB,CNB,440.5,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,4,2026-07-23,2026-07-30,37,199,True,8,95,PENDING
TMS-00015,ENG,COR-NDLS-CNB,CNB,440.73,RAIL_FRACTURE,Rail fracture / weld failure,5,4,2026-09-02,2026-09-05,0,224,True,8,95,PENDING
TMS-00016,ENG,COR-SBC-JTJ,SBC,-1.05,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,1,2026-08-14,2026-08-21,15,227,True,8,65,PENDING
TMS-00017,ENG,COR-CNB-DDU,MZP,718.45,LWR_DESTRESSING,LWR de-stressing,3,3,2026-08-20,2026-09-04,1,401,True,14,88,COMPLETED
TMS-00018,ENG,COR-BSL-NGP,BSL,1.25,TRACK_CIRCUIT_FAIL,Track buckling / misalignment,4,3,2026-09-02,2026-09-09,0,243,True,8,84,COMPLETED
TMS-00019,ENG,COR-BSL-NGP,NGP,359.75,BRIDGE_APPROACH,Bridge approach track attention,4,3,2026-08-29,2026-09-05,0,220,True,10,84,IN_PROGRESS
